sample,site,yr,mo,day,DOY,taxa,ID_Art,Abundance_per_m2,spp_mm,Yryly_Temp
Auba_2001_4_23,Auba,2001,4,23,113,Ancylus fluviatilis,4310,5.6,1.125,NA
Auba_2001_9_4,Auba,2001,9,4,247,Ancylus fluviatilis,4310,7.2,1.125,NA
Auba_2002_6_14,Auba,2002,6,14,165,Ancylus fluviatilis,4310,5.6,1.125,NA
Auba_2003_3_17,Auba,2003,3,17,76,Ancylus fluviatilis,4310,28.8,1.125,NA
Auba_2003_7_15,Auba,2003,7,15,196,Ancylus fluviatilis,4310,9.6,1.125,NA
Auba_2005_3_24,Auba,2005,3,24,83,Ancylus fluviatilis,4310,12.34286,1.125,NA
Auba_2005_6_6,Auba,2005,6,6,157,Ancylus fluviatilis,4310,1.371429,1.125,NA
Auba_2006_6_15,Auba,2006,6,15,166,Ancylus fluviatilis,4310,2.88,1.125,NA
Auba_2008_4_23,Auba,2008,4,23,114,Ancylus fluviatilis,4310,0.914286,1.125,NA
Auba_2010_3_16,Auba,2010,3,16,75,Ancylus fluviatilis,4310,4.8,1.125,NA
Auba_2010_6_29,Auba,2010,6,29,180,Ancylus fluviatilis,4310,3.2,1.125,NA
Auba_2013_3_20,Auba,2013,3,20,79,Ancylus fluviatilis,4310,1,1.125,9.511455665
Auba_2014_3_11,Auba,2014,3,11,70,Ancylus fluviatilis,4310,2,1.125,9.50444614
Auba_2014_6_17,Auba,2014,6,17,168,Ancylus fluviatilis,4310,9,1.125,9.290964368
Auba_2017_3_16,Auba,2017,3,16,75,Ancylus fluviatilis,4310,6.995671,1.125,8.800749868
Auba_2017_6_12,Auba,2017,6,12,163,Ancylus fluviatilis,4310,9.6,1.125,8.736242286
Auba_2019_7_5,Auba,2019,7,5,186,Ancylus fluviatilis,4310,4.8,1.125,10.17502652
Bieb_2001_4_26,Bieb,2001,4,26,116,Ancylus fluviatilis,4310,0.8,1.125,NA
Bieb_2004_4_5,Bieb,2004,4,5,96,Ancylus fluviatilis,4310,14.4,1.125,NA
Bieb_2006_7_13,Bieb,2006,7,13,194,Ancylus fluviatilis,4310,1.2,1.125,NA
Bieb_2007_3_22,Bieb,2007,3,22,81,Ancylus fluviatilis,4310,4.8,1.125,NA
Bieb_2009_4_8,Bieb,2009,4,8,98,Ancylus fluviatilis,4310,1.959184,1.125,NA
Bieb_2009_6_23,Bieb,2009,6,23,174,Ancylus fluviatilis,4310,1.309091,1.125,NA
Bieb_2016_6_21,Bieb,2016,6,21,173,Ancylus fluviatilis,4310,3,1.125,10.48123791
Bieb_2017_3_16,Bieb,2017,3,16,75,Ancylus fluviatilis,4310,9.6,1.125,9.507832251
Bieb_2019_4_2,Bieb,2019,4,2,92,Ancylus fluviatilis,4310,3.2,1.125,10.57369595
O3_2005_3_22,KiO3,2005,3,22,81,Ancylus fluviatilis,4310,0.8,1.125,NA
O3_2006_6_21,KiO3,2006,6,21,172,Ancylus fluviatilis,4310,19.2,1.125,NA
O3_2007_4_12,KiO3,2007,4,12,102,Ancylus fluviatilis,4310,54.72,1.125,NA
O3_2007_7_20,KiO3,2007,7,20,201,Ancylus fluviatilis,4310,2.215385,1.125,NA
O3_2008_4_28,KiO3,2008,4,28,119,Ancylus fluviatilis,4310,8.661654,1.125,NA
O3_2008_6_11,KiO3,2008,6,11,163,Ancylus fluviatilis,4310,4.571429,1.125,NA
O3_2009_4_9,KiO3,2009,4,9,99,Ancylus fluviatilis,4310,19.04762,1.125,NA
O3_2009_6_23,KiO3,2009,6,23,174,Ancylus fluviatilis,4310,19.2,1.125,NA
O3_2010_4_26,KiO3,2010,4,26,116,Ancylus fluviatilis,4310,45.6,1.125,NA
O3_2010_6_28,KiO3,2010,6,28,179,Ancylus fluviatilis,4310,5.4,1.125,NA
O3_2011_4_20,KiO3,2011,4,20,110,Ancylus fluviatilis,4310,4.8,1.125,NA
O3_2011_7_21,KiO3,2011,7,21,202,Ancylus fluviatilis,4310,28.8,1.125,NA
O3_2012_3_21,KiO3,2012,3,21,81,Ancylus fluviatilis,4310,20.57143,1.125,NA
O3_2013_4_25,KiO3,2013,4,25,115,Ancylus fluviatilis,4310,4.8,1.125,10.88388592
O3_2014_3_10,KiO3,2014,3,10,69,Ancylus fluviatilis,4310,48.7619,1.125,11.02946866
O3_2015_3_17,KiO3,2015,3,17,76,Ancylus fluviatilis,4310,5.647059,1.125,10.40082664
O3_2015_7_1,KiO3,2015,7,1,182,Ancylus fluviatilis,4310,30.4,1.125,11.43368182
O3_2016_4_25,KiO3,2016,4,25,116,Ancylus fluviatilis,4310,29.14286,1.125,12.20986753
O3_2016_7_6,KiO3,2016,7,6,188,Ancylus fluviatilis,4310,3.428571,1.125,11.79098499
O3_2017_3_28,KiO3,2017,3,28,87,Ancylus fluviatilis,4310,11.42857,1.125,10.64070401
O3_2017_6_2,KiO3,2017,6,2,153,Ancylus fluviatilis,4310,44.19048,1.125,10.87553422
O3_2018_3_9,KiO3,2018,3,9,68,Ancylus fluviatilis,4310,27.42857,1.125,11.63718211
O3_2018_6_7,KiO3,2018,6,7,158,Ancylus fluviatilis,4310,41.14286,1.125,11.63243278
O3_2019_4_1,KiO3,2019,4,1,91,Ancylus fluviatilis,4310,33.23077,1.125,12.06920692
O3_2019_6_18,KiO3,2019,6,18,169,Ancylus fluviatilis,4310,63.2,1.125,NA
W1_2007_4_12,KiW1,2007,4,12,102,Ancylus fluviatilis,4310,1.6,1.125,NA
W1_2008_4_28,KiW1,2008,4,28,119,Ancylus fluviatilis,4310,1.107692,1.125,NA
W1_2009_5_7,KiW1,2009,5,7,127,Ancylus fluviatilis,4310,19.2,1.125,NA
W1_2009_6_13,KiW1,2009,6,13,164,Ancylus fluviatilis,4310,4.8,1.125,NA
W1_2011_4_20,KiW1,2011,4,20,110,Ancylus fluviatilis,4310,6.72,1.125,NA
W1_2012_3_21,KiW1,2012,3,21,81,Ancylus fluviatilis,4310,0.8,1.125,11.60336355
W1_2013_4_9,KiW1,2013,4,9,99,Ancylus fluviatilis,4310,3.2,1.125,11.02415473
W1_2014_3_10,KiW1,2014,3,10,69,Ancylus fluviatilis,4310,10.56,1.125,11.30350443
W1_2014_6_10,KiW1,2014,6,10,161,Ancylus fluviatilis,4310,3.692308,1.125,12.42919707
W1_2015_3_17,KiW1,2015,3,17,76,Ancylus fluviatilis,4310,1.6,1.125,12.51601374
W1_2016_4_25,KiW1,2016,4,25,116,Ancylus fluviatilis,4310,2.4,1.125,12.20102467
W1_2017_6_7,KiW1,2017,6,7,158,Ancylus fluviatilis,4310,7.2,1.125,11.34774636
W1_2018_3_9,KiW1,2018,3,9,68,Ancylus fluviatilis,4310,33.6,1.125,11.73744917
O3_2002_7_2,KiO3,2002,7,2,183,Aphelocheirus aestivalis,4335,5.6,1.125,NA
O3_2006_6_21,KiO3,2006,6,21,172,Aphelocheirus aestivalis,4335,141.6,1.125,NA
O3_2007_4_12,KiO3,2007,4,12,102,Aphelocheirus aestivalis,4335,17.28,1.125,NA
O3_2007_7_20,KiO3,2007,7,20,201,Aphelocheirus aestivalis,4335,20.73846,1.125,NA
O3_2008_4_28,KiO3,2008,4,28,119,Aphelocheirus aestivalis,4335,20.21053,1.125,NA
O3_2008_6_11,KiO3,2008,6,11,163,Aphelocheirus aestivalis,4335,24.38095,1.125,NA
O3_2009_4_9,KiO3,2009,4,9,99,Aphelocheirus aestivalis,4335,10.66667,1.125,NA
O3_2009_6_23,KiO3,2009,6,23,174,Aphelocheirus aestivalis,4335,19.2,1.125,NA
O3_2010_4_26,KiO3,2010,4,26,116,Aphelocheirus aestivalis,4335,6,1.125,NA
O3_2010_6_28,KiO3,2010,6,28,179,Aphelocheirus aestivalis,4335,14.2,1.125,NA
O3_2011_4_20,KiO3,2011,4,20,110,Aphelocheirus aestivalis,4335,3.2,1.125,NA
O3_2011_7_21,KiO3,2011,7,21,202,Aphelocheirus aestivalis,4335,14.4,1.125,NA
O3_2012_3_21,KiO3,2012,3,21,81,Aphelocheirus aestivalis,4335,4.114286,1.125,NA
O3_2012_7_12,KiO3,2012,7,12,194,Aphelocheirus aestivalis,4335,10.28571,1.125,NA
O3_2013_4_25,KiO3,2013,4,25,115,Aphelocheirus aestivalis,4335,1.6,1.125,10.88388592
O3_2013_7_1,KiO3,2013,7,1,182,Aphelocheirus aestivalis,4335,4.8,1.125,10.45683623
O3_2014_3_10,KiO3,2014,3,10,69,Aphelocheirus aestivalis,4335,13.71429,1.125,11.02946866
O3_2014_6_12,KiO3,2014,6,12,163,Aphelocheirus aestivalis,4335,20,1.125,10.81162656
O3_2015_3_17,KiO3,2015,3,17,76,Aphelocheirus aestivalis,4335,2.211765,1.125,10.40082664
O3_2015_7_1,KiO3,2015,7,1,182,Aphelocheirus aestivalis,4335,2.4,1.125,11.43368182
O3_2016_4_25,KiO3,2016,4,25,116,Aphelocheirus aestivalis,4335,6.857143,1.125,12.20986753
O3_2016_7_6,KiO3,2016,7,6,188,Aphelocheirus aestivalis,4335,24.8,1.125,11.79098499
O3_2017_3_28,KiO3,2017,3,28,87,Aphelocheirus aestivalis,4335,11.88571,1.125,10.64070401
O3_2017_6_2,KiO3,2017,6,2,153,Aphelocheirus aestivalis,4335,29.71429,1.125,10.87553422
O3_2018_3_9,KiO3,2018,3,9,68,Aphelocheirus aestivalis,4335,10.28571,1.125,11.63718211
O3_2018_6_7,KiO3,2018,6,7,158,Aphelocheirus aestivalis,4335,29.71429,1.125,11.63243278
O3_2019_4_1,KiO3,2019,4,1,91,Aphelocheirus aestivalis,4335,48.8,1.125,12.06920692
O3_2019_6_18,KiO3,2019,6,18,169,Aphelocheirus aestivalis,4335,34.4,1.125,NA
W1_2005_3_22,KiW1,2005,3,22,81,Aphelocheirus aestivalis,4335,38.4,1.125,NA
W1_2006_7_13,KiW1,2006,7,13,194,Aphelocheirus aestivalis,4335,33.8087,1.125,NA
W1_2007_4_12,KiW1,2007,4,12,102,Aphelocheirus aestivalis,4335,11.2,1.125,NA
W1_2007_7_22,KiW1,2007,7,22,203,Aphelocheirus aestivalis,4335,21.6,1.125,NA
W1_2008_4_28,KiW1,2008,4,28,119,Aphelocheirus aestivalis,4335,3.323077,1.125,NA
W1_2008_6_11,KiW1,2008,6,11,163,Aphelocheirus aestivalis,4335,6.247619,1.125,NA
W1_2009_5_7,KiW1,2009,5,7,127,Aphelocheirus aestivalis,4335,25.6,1.125,NA
W1_2009_6_13,KiW1,2009,6,13,164,Aphelocheirus aestivalis,4335,50.4,1.125,NA
W1_2010_4_26,KiW1,2010,4,26,116,Aphelocheirus aestivalis,4335,31.83158,1.125,NA
W1_2010_6_25,KiW1,2010,6,25,176,Aphelocheirus aestivalis,4335,10.4,1.125,NA
W1_2011_4_20,KiW1,2011,4,20,110,Aphelocheirus aestivalis,4335,8.48,1.125,NA
W1_2011_7_4,KiW1,2011,7,4,185,Aphelocheirus aestivalis,4335,9,1.125,NA
W1_2012_3_21,KiW1,2012,3,21,81,Aphelocheirus aestivalis,4335,9.6,1.125,11.60336355
W1_2012_6_28,KiW1,2012,6,28,180,Aphelocheirus aestivalis,4335,12.8,1.125,11.39026067
W1_2013_4_9,KiW1,2013,4,9,99,Aphelocheirus aestivalis,4335,8,1.125,11.02415473
W1_2013_6_27,KiW1,2013,6,27,178,Aphelocheirus aestivalis,4335,18.8,1.125,10.70776835
W1_2014_3_10,KiW1,2014,3,10,69,Aphelocheirus aestivalis,4335,14.88,1.125,11.30350443
W1_2014_6_10,KiW1,2014,6,10,161,Aphelocheirus aestivalis,4335,113.4154,1.125,12.42919707
W1_2015_3_17,KiW1,2015,3,17,76,Aphelocheirus aestivalis,4335,9.6,1.125,12.51601374
W1_2015_7_2,KiW1,2015,7,2,183,Aphelocheirus aestivalis,4335,31.42857,1.125,11.89020913
W1_2016_4_25,KiW1,2016,4,25,116,Aphelocheirus aestivalis,4335,19.2,1.125,12.20102467
W1_2016_7_12,KiW1,2016,7,12,194,Aphelocheirus aestivalis,4335,11.2,1.125,11.94031883
W1_2017_3_28,KiW1,2017,3,28,87,Aphelocheirus aestivalis,4335,81.6,1.125,11.21748961
W1_2017_6_7,KiW1,2017,6,7,158,Aphelocheirus aestivalis,4335,124.8,1.125,11.34774636
W1_2018_3_9,KiW1,2018,3,9,68,Aphelocheirus aestivalis,4335,110.4,1.125,11.73744917
W1_2018_6_5,KiW1,2018,6,5,156,Aphelocheirus aestivalis,4335,64.8,1.125,11.8018492
W1_2019_4_1,KiW1,2019,4,1,91,Aphelocheirus aestivalis,4335,77.64706,1.125,12.34428617
W1_2019_6_28,KiW1,2019,6,28,179,Aphelocheirus aestivalis,4335,0.8,1.125,NA
Auba_2001_4_23,Auba,2001,4,23,113,Baetis rhodani,4415,72,0.9375,NA
Auba_2001_6_21,Auba,2001,6,21,172,Baetis rhodani,4415,58.4,0.9375,NA
Auba_2001_9_4,Auba,2001,9,4,247,Baetis rhodani,4415,63.2,0.9375,NA
Auba_2002_6_14,Auba,2002,6,14,165,Baetis rhodani,4415,73.6,0.9375,NA
Auba_2003_3_17,Auba,2003,3,17,76,Baetis rhodani,4415,140.8,0.9375,NA
Auba_2003_7_15,Auba,2003,7,15,196,Baetis rhodani,4415,24,0.9375,NA
Auba_2004_4_6,Auba,2004,4,6,97,Baetis rhodani,4415,76,0.9375,NA
Auba_2004_7_10,Auba,2004,7,10,192,Baetis rhodani,4415,38.4,0.9375,NA
Auba_2005_3_24,Auba,2005,3,24,83,Baetis rhodani,4415,58.4,0.9375,NA
Auba_2005_6_6,Auba,2005,6,6,157,Baetis rhodani,4415,32,0.9375,NA
Auba_2006_4_10,Auba,2006,4,10,100,Baetis rhodani,4415,15.84,0.9375,NA
Auba_2006_6_15,Auba,2006,6,15,166,Baetis rhodani,4415,8.64,0.9375,NA
Auba_2007_3_11,Auba,2007,3,11,70,Baetis rhodani,4415,32.48,0.9375,NA
Auba_2007_7_12,Auba,2007,7,12,193,Baetis rhodani,4415,30.8,0.9375,NA
Auba_2008_4_23,Auba,2008,4,23,114,Baetis rhodani,4415,75.73333,0.9375,NA
Auba_2008_6_23,Auba,2008,6,23,175,Baetis rhodani,4415,25.31868,0.9375,NA
Auba_2009_4_8,Auba,2009,4,8,98,Baetis rhodani,4415,25.90476,0.9375,NA
Auba_2009_6_23,Auba,2009,6,23,174,Baetis rhodani,4415,36.8,0.9375,NA
Auba_2010_3_16,Auba,2010,3,16,75,Baetis rhodani,4415,116,0.9375,NA
Auba_2010_6_29,Auba,2010,6,29,180,Baetis rhodani,4415,29.06667,0.9375,NA
Auba_2011_3_24,Auba,2011,3,24,83,Baetis rhodani,4415,15.2,0.9375,NA
Auba_2011_7_25,Auba,2011,7,25,206,Baetis rhodani,4415,10.4,0.9375,NA
Auba_2012_3_19,Auba,2012,3,19,79,Baetis rhodani,4415,25.05263,0.9375,NA
Auba_2012_6_21,Auba,2012,6,21,173,Baetis rhodani,4415,24.38095,0.9375,NA
Auba_2013_3_20,Auba,2013,3,20,79,Baetis rhodani,4415,11.8,0.9375,9.511455665
Auba_2013_6_17,Auba,2013,6,17,168,Baetis rhodani,4415,1.2,0.9375,9.168300937
Auba_2014_3_11,Auba,2014,3,11,70,Baetis rhodani,4415,6.8,0.9375,9.50444614
Auba_2014_6_17,Auba,2014,6,17,168,Baetis rhodani,4415,45.8,0.9375,9.290964368
Auba_2015_3_10,Auba,2015,3,10,69,Baetis rhodani,4415,56.64,0.9375,9.396444518
Auba_2015_6_16,Auba,2015,6,16,167,Baetis rhodani,4415,4.8,0.9375,9.98543913
Auba_2016_4_11,Auba,2016,4,11,102,Baetis rhodani,4415,30.93333,0.9375,10.48670238
Auba_2016_6_21,Auba,2016,6,21,173,Baetis rhodani,4415,5.6,0.9375,10.39995402
Auba_2017_3_16,Auba,2017,3,16,75,Baetis rhodani,4415,7.792208,0.9375,8.800749868
Auba_2018_3_7,Auba,2018,3,7,66,Baetis rhodani,4415,80,0.9375,9.961518032
Auba_2018_6_15,Auba,2018,6,15,166,Baetis rhodani,4415,34.28571,0.9375,10.19572503
Auba_2019_4_2,Auba,2019,4,2,92,Baetis rhodani,4415,2.839827,0.9375,10.33313505
Bieb_2001_4_26,Bieb,2001,4,26,116,Baetis rhodani,4415,146.4,0.9375,NA
Bieb_2001_6_22,Bieb,2001,6,22,173,Baetis rhodani,4415,60.8,0.9375,NA
Bieb_2001_8_30,Bieb,2001,8,30,242,Baetis rhodani,4415,78.4,0.9375,NA
Bieb_2002_6_12,Bieb,2002,6,12,163,Baetis rhodani,4415,10.4,0.9375,NA
Bieb_2003_3_11,Bieb,2003,3,11,70,Baetis rhodani,4415,178.5143,0.9375,NA
Bieb_2003_7_14,Bieb,2003,7,14,195,Baetis rhodani,4415,29.6,0.9375,NA
Bieb_2004_4_5,Bieb,2004,4,5,96,Baetis rhodani,4415,20.8,0.9375,NA
Bieb_2004_7_9,Bieb,2004,7,9,191,Baetis rhodani,4415,26.4,0.9375,NA
Bieb_2006_4_10,Bieb,2006,4,10,100,Baetis rhodani,4415,155.2,0.9375,NA
Bieb_2006_7_13,Bieb,2006,7,13,194,Baetis rhodani,4415,33.6,0.9375,NA
Bieb_2007_3_22,Bieb,2007,3,22,81,Baetis rhodani,4415,137.6,0.9375,NA
Bieb_2007_7_12,Bieb,2007,7,12,193,Baetis rhodani,4415,14.4,0.9375,NA
Bieb_2008_4_24,Bieb,2008,4,24,115,Baetis rhodani,4415,79.80952,0.9375,NA
Bieb_2008_6_23,Bieb,2008,6,23,175,Baetis rhodani,4415,3.047619,0.9375,NA
Bieb_2009_4_8,Bieb,2009,4,8,98,Baetis rhodani,4415,5.877551,0.9375,NA
Bieb_2009_6_23,Bieb,2009,6,23,174,Baetis rhodani,4415,2.618182,0.9375,NA
Bieb_2010_3_16,Bieb,2010,3,16,75,Baetis rhodani,4415,73.34161,0.9375,NA
Bieb_2010_6_29,Bieb,2010,6,29,180,Baetis rhodani,4415,10.4,0.9375,NA
Bieb_2011_3_24,Bieb,2011,3,24,83,Baetis rhodani,4415,22.4,0.9375,NA
Bieb_2011_7_25,Bieb,2011,7,25,206,Baetis rhodani,4415,8.378947,0.9375,NA
Bieb_2012_3_19,Bieb,2012,3,19,79,Baetis rhodani,4415,94.77647,0.9375,10.10923887
Bieb_2012_6_21,Bieb,2012,6,21,173,Baetis rhodani,4415,2.109091,0.9375,9.939641775
Bieb_2013_3_19,Bieb,2013,3,19,78,Baetis rhodani,4415,56,0.9375,NA
Bieb_2014_3_11,Bieb,2014,3,11,70,Baetis rhodani,4415,21.8,0.9375,NA
Bieb_2015_3_25,Bieb,2015,3,25,84,Baetis rhodani,4415,132.2286,0.9375,NA
Bieb_2016_4_11,Bieb,2016,4,11,102,Baetis rhodani,4415,39.31429,0.9375,10.6375945
Bieb_2016_6_21,Bieb,2016,6,21,173,Baetis rhodani,4415,5.3,0.9375,10.48123791
Bieb_2017_3_16,Bieb,2017,3,16,75,Baetis rhodani,4415,159.2,0.9375,9.507832251
Bieb_2017_6_12,Bieb,2017,6,12,163,Baetis rhodani,4415,20.57143,0.9375,9.597170391
Bieb_2018_3_7,Bieb,2018,3,7,66,Baetis rhodani,4415,134.4,0.9375,10.46529746
Bieb_2018_6_15,Bieb,2018,6,15,166,Baetis rhodani,4415,58.66667,0.9375,10.61800637
Bieb_2019_4_2,Bieb,2019,4,2,92,Baetis rhodani,4415,22.4,0.9375,10.57369595
Bieb_2019_7_5,Bieb,2019,7,5,186,Baetis rhodani,4415,11.2,0.9375,10.3264125
O3_2002_7_2,KiO3,2002,7,2,183,Baetis rhodani,4415,24,0.9375,NA
O3_2005_3_22,KiO3,2005,3,22,81,Baetis rhodani,4415,5.6,0.9375,NA
O3_2006_6_21,KiO3,2006,6,21,172,Baetis rhodani,4415,5.6,0.9375,NA
O3_2007_4_12,KiO3,2007,4,12,102,Baetis rhodani,4415,7.36,0.9375,NA
O3_2007_7_20,KiO3,2007,7,20,201,Baetis rhodani,4415,2.215385,0.9375,NA
O3_2008_4_28,KiO3,2008,4,28,119,Baetis rhodani,4415,16.6416,0.9375,NA
O3_2008_6_11,KiO3,2008,6,11,163,Baetis rhodani,4415,48,0.9375,NA
O3_2009_4_9,KiO3,2009,4,9,99,Baetis rhodani,4415,9.142857,0.9375,NA
O3_2009_6_23,KiO3,2009,6,23,174,Baetis rhodani,4415,20,0.9375,NA
O3_2010_4_26,KiO3,2010,4,26,116,Baetis rhodani,4415,6,0.9375,NA
O3_2010_6_28,KiO3,2010,6,28,179,Baetis rhodani,4415,3.6,0.9375,NA
O3_2011_4_20,KiO3,2011,4,20,110,Baetis rhodani,4415,8,0.9375,NA
O3_2011_7_21,KiO3,2011,7,21,202,Baetis rhodani,4415,1.6,0.9375,NA
O3_2012_3_21,KiO3,2012,3,21,81,Baetis rhodani,4415,30.4,0.9375,NA
O3_2013_4_25,KiO3,2013,4,25,115,Baetis rhodani,4415,1.6,0.9375,10.88388592
O3_2013_7_1,KiO3,2013,7,1,182,Baetis rhodani,4415,7.2,0.9375,10.45683623
O3_2014_3_10,KiO3,2014,3,10,69,Baetis rhodani,4415,20.57143,0.9375,11.02946866
O3_2014_6_12,KiO3,2014,6,12,163,Baetis rhodani,4415,10.4,0.9375,10.81162656
O3_2015_3_17,KiO3,2015,3,17,76,Baetis rhodani,4415,7.435294,0.9375,10.40082664
O3_2017_3_28,KiO3,2017,3,28,87,Baetis rhodani,4415,18.28571,0.9375,10.64070401
O3_2017_6_2,KiO3,2017,6,2,153,Baetis rhodani,4415,33.14286,0.9375,10.87553422
O3_2018_3_9,KiO3,2018,3,9,68,Baetis rhodani,4415,17.14286,0.9375,11.63718211
O3_2018_6_7,KiO3,2018,6,7,158,Baetis rhodani,4415,57.90476,0.9375,11.63243278
O3_2019_4_1,KiO3,2019,4,1,91,Baetis rhodani,4415,11.87692,0.9375,12.06920692
O3_2019_6_18,KiO3,2019,6,18,169,Baetis rhodani,4415,9.6,0.9375,NA
W1_2005_3_22,KiW1,2005,3,22,81,Baetis rhodani,4415,2.4,0.9375,NA
W1_2007_4_12,KiW1,2007,4,12,102,Baetis rhodani,4415,2.4,0.9375,NA
